tap_index,timestamp_ns,timestamp_ms_from_start,ioi_ms
0,894287502821750,0.000,
1,894287932991041,430.169,430.169291
2,894288457777666,954.956,524.786625
3,894288963965166,1461.143,506.1875
4,894289466151375,1963.330,502.186209
5,894289996266208,2493.444,530.114833
6,894290467588833,2964.767,471.322625
7,894290988276958,3485.455,520.688125
8,894291475400708,3972.579,487.12375
9,894291988443500,4485.622,513.042792
10,894292491506958,4988.685,503.063458
11,894292972203250,5469.382,480.696292
12,894293500166458,5997.345,527.963208
13,894294028176208,6525.354,528.00975
14,894294524079291,7021.258,495.903083
15,894295003506083,7500.684,479.426792
16,894295500143833,7997.322,496.63775
17,894296019290208,8516.468,519.146375
18,894296458525958,8955.704,439.23575
19,894296964197208,9461.375,505.67125
20,894297476266458,9973.445,512.06925
21,894297980087000,10477.265,503.820542
22,894298491824916,10989.003,511.737916
23,894298996219125,11493.397,504.394209
24,894299491931208,11989.109,495.712083
25,894299987793791,12484.972,495.862583
26,894300476200500,12973.379,488.406709
27,894301010119375,13507.298,533.918875
28,894301484010750,13981.189,473.891375
29,894301988272916,14485.451,504.262166
30,894302466615666,14963.794,478.34275
31,894302947865166,15445.043,481.2495
32,894303444149458,15941.328,496.284292
33,894303947869750,16445.048,503.720292
34,894304466882875,16964.061,519.013125
35,894304955997000,17453.175,489.114125
36,894305458024875,17955.203,502.027875
37,894306003807958,18500.986,545.783083
38,894306492234041,18989.412,488.426083
39,894306964076750,19461.255,471.842709
40,894307452773416,19949.952,488.696666
41,894307924382458,20421.561,471.609042
42,894308419862458,20917.041,495.48
43,894308940423791,21437.602,520.561333
44,894309412147791,21909.326,471.724
45,894309884322500,22381.501,472.174709
46,894310388204791,22885.383,503.882291
47,894310876387000,23373.565,488.182209
48,894311395650291,23892.829,519.263291
49,894311868526208,24365.704,472.875917
50,894312380150875,24877.329,511.624667
51,894312884514708,25381.693,504.363833
52,894313376048625,25873.227,491.533917
53,894313874186208,26371.364,498.137583
54,894314338104583,26835.283,463.918375
55,894314812437166,27309.615,474.332583
56,894315300594541,27797.773,488.157375
57,894315836626208,28333.804,536.031667
58,894316348337875,28845.516,511.711667
59,894316824943666,29322.122,476.605791
60,894317338209125,29835.387,513.265459
61,894317800809750,30297.988,462.600625
62,894318284183708,30781.362,483.373958
63,894318764212333,31261.391,480.028625
64,894319188217875,31685.396,424.005542
65,894319836169583,32333.348,647.951708
66,894320468372041,32965.550,632.202458
67,894320972144000,33469.322,503.771959
68,894321435627583,33932.806,463.483583
69,894321964301958,34461.480,528.674375
70,894322507828208,35005.006,543.52625
71,894323003261708,35500.440,495.4335
72,894323531243166,36028.421,527.981458
73,894324018411708,36515.590,487.168542
74,894324538841833,37036.020,520.430125
75,894325003709458,37500.888,464.867625
76,894325468156125,37965.334,464.446667
77,894325978401375,38475.580,510.24525
78,894326474663208,38971.841,496.261833
79,894326964278375,39461.457,489.615167
80,894327442877000,39940.055,478.598625
81,894327924171458,40421.350,481.294458
82,894328460230375,40957.409,536.058917
83,894328971983500,41469.162,511.753125
84,894329476293208,41973.471,504.309708
85,894329964033375,42461.212,487.740167
86,894330476362291,42973.541,512.328916
87,894330968366208,43465.544,492.003917
88,894331460275416,43957.454,491.909208
89,894331956193291,44453.372,495.917875
90,894332452572416,44949.751,496.379125
91,894332956027666,45453.206,503.45525
92,894333434526375,45931.705,478.498709
93,894333930734500,46427.913,496.208125
94,894334428413333,46925.592,497.678833
95,894334930098500,47427.277,501.685167
96,894335409718500,47906.897,479.62
97,894335946055750,48443.234,536.33725
98,894336435383041,48932.561,489.327291
99,894336931178916,49428.357,495.795875
100,894337410144416,49907.323,478.9655
101,894337956679083,50453.857,546.534667
102,894338433776208,50930.954,477.097125
103,894338946189333,51443.368,512.413125
104,894339468094250,51965.272,521.904917
105,894339916311750,52413.490,448.2175
106,894340427725333,52924.904,511.413583
107,894340923692666,53420.871,495.967333
108,894341442702208,53939.880,519.009542
109,894341962217041,54459.395,519.514833
110,894342436113458,54933.292,473.896417
111,894342916637958,55413.816,480.5245
112,894343410293750,55907.472,493.655792
113,894343908104125,56405.282,497.810375
114,894344403977250,56901.156,495.873125
115,894344916227625,57413.406,512.250375
116,894345443050916,57940.229,526.823291
117,894345972301958,58469.480,529.251042
118,894346468259666,58965.438,495.957708
119,894346929908583,59427.087,461.648917
120,894347467820500,59964.999,537.911917
